Sentence,Rating,llm_gene_CEFR1,llm_gene_CEFR2,llm_gene_CEFR3,P_CEFR1,P_CEFR2,P_CEFR3,R_CEFR1,R_CEFR2,R_CEFR3,STS_CEFR1,STS_CEFR2,STS_CEFR3,AS_CEFR1,AS_CEFR2,AS_CEFR3,CP_CEFR1,CP_CEFR2,CP_CEFR3,REFEREE_CEFR1,REFEREE_CEFR2,REFEREE_CEFR3,SLEDELTA_CEFR1,SLEDELTA_CEFR2,SLEDELTA_CEFR3,COLA_CEFR1,COLA_CEFR2,COLA_CEFR3,pred_1,pred_2,pred_3
"Unfortunately , she is a parent whose rules must be enforced through guilt and manipulation instead of reason and trust .",4,She sometimes uses tricks to make her children listen to her.,She uses guilt and tricks to get her children to behave.,She has to use guilt and manipulation to get her children to obey her because they don't listen to reason.,0.32144076,0.4167634,0.3470851,0.119254634,0.21234569,0.29058704,0.5470516681671143,0.7064400911331177,0.7525107264518738,0.0085918018594384,0.2563584446907043,0.5398755669593811,0.0,0.0,0.0,0.2656431198120117,0.5520144701004028,0.8436369895935059,2.6829534769058228,3.1159788370132446,0.2358045578002929,1,1,1,3,3,4
Hold your nostrils closed before you dive in .,4,Close your nose before you get in.,Hold your breath before you jump in.,Close your nostrils before you dive in.,0.7005331,0.6405227,0.89534974,0.45023558,0.3386398,0.693651,0.801857590675354,0.7762428522109985,0.9758002758026124,0.9431238174438475,0.6477290987968445,0.9431147575378418,0.0,0.0,0.0,0.7657280564308167,0.7466650605201721,0.405096560716629,0.376814603805542,0.0984089374542236,-0.50199294090271,1,1,1,2,2,2
They raced their motorcycles through a dangerous intersection .,4,They rode their bikes fast through the town.,They rode their motorcycles fast through a difficult place.,They drove their motorcycles through a dangerous intersection.,0.64745164,0.6827841,0.91491735,0.48369896,0.60912323,0.8169165,0.6103711128234863,0.7307313680648804,0.9348171353340148,0.3560127317905426,0.8585720658302307,0.8874732851982117,0.0,0.0,0.0,0.7728090286254883,0.6911320686340332,0.4422706961631775,0.7158546447753906,0.2776849269866943,-0.3446102142333984,1,1,1,2,3,3
Three Russian diplomats were expelled from the U.S.,4,Some Russian diplomats left America.,Three Russian diplomats left the U.S.,Three Russian diplomats left the U.S.,0.8081948,0.8566708,0.8566708,0.70617884,0.80512726,0.80512726,0.699029266834259,0.8797228932380676,0.8797228932380676,0.97059565782547,0.995168685913086,0.995168685913086,0.0,0.0,0.0,0.8386535048484802,0.6118704080581665,0.6118704080581665,0.0693409442901611,0.8260631561279297,0.8260631561279297,1,1,1,2,2,2
"If I were an engineer , I would look for a chemical safer than water to use for geothermal energy production .",4,"If I were an engineer, I would find a better chemical.","If I were an engineer, I would find a safer way to get geothermal energy.","If I were an engineer, I would find a safer liquid than water to use for geothermal energy.",0.7439416,0.785181,0.86069894,0.4013562,0.53570104,0.73841447,0.5863953232765198,0.8264660239219666,0.92305725812912,0.9442152976989746,0.9182316660881042,0.6509764790534973,0.0,0.0,0.0,0.5480456948280334,0.736407458782196,0.6061912178993225,0.3551017045974731,1.17882239818573,-0.4083740711212158,1,1,1,3,4,4
There have been many opposition groups against Hitler 's ideology for decades now .,4,Many people don't like Hitler's ideas.,Many people have not liked Hitler 's ideas for a long time.,People have been against Hitler's ideas for a long time.,0.48422757,0.57070756,0.66906565,0.18993655,0.43058762,0.41556528,0.628538966178894,0.6688302159309387,0.7583297491073608,0.8749197125434875,0.8761528730392456,0.9630984663963318,0.0,0.0,0.0,0.6610697507858276,0.8874558806419373,0.8982137441635132,2.784738540649414,2.830522894859314,2.65242338180542,1,1,1,2,2,3
Sally likes to wiggle her loose tooth to make the younger children laugh .,4,She likes to make the kids laugh with her tooth.,She likes to wiggle her loose tooth.,Sally likes to wiggle her loose tooth to make the kids laugh.,0.7475449,0.89328843,0.9606458,0.5247611,0.5728817,0.8573515,0.7589088678359985,0.6906991004943848,0.9771646857261658,0.9146019220352172,0.938449203968048,0.9345953464508056,0.0,0.0,0.0,0.8295268416404724,0.624466598033905,0.641739547252655,0.60260009765625,0.6022038459777832,-0.1261522769927978,1,1,1,2,3,3
Titanium is commonly found in the earth 's crust .,4,You can find a strong metal in the ground called titanium.,You can find titanium in the ground.,You can find titanium in the earth's crust.,0.27236092,0.45140073,0.6084338,0.1660368,0.21113984,0.38317686,0.560816764831543,0.6707445383071899,0.87662273645401,0.8146982192993164,0.8560106158256531,0.9831132888793944,0.0,0.0,0.0,0.4837043881416321,0.5366547107696533,0.8219729661941528,0.674053430557251,1.0712015628814695,0.9835245609283448,1,1,1,4,3,4
I tried to do my homework but was distracted by my neighbor 's loud television .,4,My neighbor's TV is too loud. I can't do my homework.,My neighbor's loud TV stopped me from finishing my homework.,"My neighbor 's TV was too loud , so I couldn't do my homework.",0.6158611,0.64128506,0.62577456,0.44668314,0.4391785,0.60036963,0.7555715441703796,0.9014959931373596,0.8124532699584961,0.7475270628929138,0.9408292770385742,0.8610458374023438,0.0,0.0,0.0,0.7850155830383301,0.7872327566146851,0.7876085042953491,1.6844937801361084,1.4780480861663818,0.8439183235168457,1,1,1,2,2,2
They were able to track the astronauts ' return and quickly get to the area where they landed .,4,They saw the astronauts coming back and got there quickly.,They knew when the astronauts would come back and went quickly to the landing place.,They tracked the astronauts' return and got to the area where they landed quickly.,0.5720801,0.5136333,0.86403584,0.36579168,0.39523888,0.6918767,0.8107243180274963,0.8036709427833557,0.9440994262695312,0.8998916149139404,0.8859400749206543,0.9349772930145264,0.0,0.0,0.0,0.7000303268432617,0.6916703581809998,0.7347978949546814,1.2807238101959229,0.9731073379516602,0.3828983306884765,1,1,1,3,3,3
"Once boot options have been selected , GRUB loads the selected kernel into memory and passes control to the kernel .",4,Choose your computer settings first . Then it will start.,GRUB starts the operating system after you choose your boot options.,"After you choose your computer settings , GRUB starts your computer.",0.26294234,0.41579625,0.52225345,0.10607663,0.18501836,0.30099043,0.1299475133419037,0.5629833340644836,0.5436385273933411,0.0304586626589298,0.6673221588134766,0.375362366437912,0.0,0.0,0.0,-0.2911573946475982,-0.1464799493551254,-0.0284884385764598,2.2475619316101074,-0.1310397386550903,1.5285749435424805,1,1,1,2,3,2
"In the very early versions of quicksort , the leftmost element of the partition would often be chosen as the pivot element .",4,"In the first versions of quicksort , the first element was usually in the middle.","In the first version of quicksort, the leftmost element was used as the middle point.","In the early versions of quicksort, the first element was often used as the middle point.",0.68869805,0.7165611,0.7152879,0.5342285,0.56901836,0.5630337,0.7975875735282898,0.814180314540863,0.7482548356056213,0.1503907144069671,0.5102381110191345,0.1903427243232727,0.0,0.0,0.0,-0.4429756104946136,0.084570363163948,0.0816845297813415,1.612440586090088,0.8929786682128906,0.6420294046401978,1,1,1,3,4,3
"Passes are synced between iOS devices using iCloud , and OS X 10.8.2 and later also support opening passes to be sent to users ' iOS devices .",4,You can share things on your computer to your phone or tablet.,You can share tickets on your Apple devices. You can also send tickets to others’ Apple devices from a Mac.,"You can share passes with your friends using iCloud. If you have a Mac, you can send passes to your friends' iPhones.",0.20245375,0.34822133,0.38070327,-0.035163738,0.13976286,0.1630687,0.2990740239620209,0.4913198351860046,0.7046369910240173,0.2675983011722564,0.0454620756208896,0.3085572719573974,0.0,0.0,0.0,-0.1172632724046707,0.4929251968860626,1.001406192779541,3.722238451242447,2.450695663690567,2.144595056772232,1,1,1,2,3,3
"In contrast , a real image is one that is formed when the outgoing rays from a point converge at a real location .",4,Light makes a real image when it meets in one place.,"On the other hand, a real image is formed when light rays come together in a real place.","In contrast , a real image is one that is formed when light rays meet at a real place.",0.37830344,0.5248889,0.83807635,0.12380919,0.37766513,0.694443,0.6407490968704224,0.8672071695327759,0.947677731513977,0.8654504418373108,0.8133030533790588,0.6982005834579468,0.0,0.0,0.0,-0.2220009118318557,0.786460280418396,0.6460736989974976,2.4089608192443848,2.3047823905944824,1.940954208374024,1,1,1,3,3,3
"In British English , a car of this configuration is called a saloon .",4,"In Britain, people call this type of car a normal car.","In Britain, they call this kind of car a saloon.","In Britain, this type of car is called a saloon.",0.5588304,0.6435073,0.7376102,0.32480597,0.44118485,0.5305618,0.6579089164733887,0.8885600566864014,0.9040899276733398,0.3611965775489807,0.9195258617401124,0.8734517693519592,0.0,0.0,0.0,0.8201055526733398,0.9029276371002196,0.8363105058670044,2.499072313308716,2.8800270557403564,2.806360960006714,1,1,1,2,3,3
"There is a huge statue erected in honor of all the Netherlands sea-rescuers , opened in 1935 and is sometimes mistakenly assumed to honor Dorus .",4,In Holland there is a big statue. It remembers people who saved sailors. It was made a long time ago.,There is a big statue to thank Dutch sailors who save people at sea.,There is a big statue in Holland to remember people who saved sailors from drowning.,0.46294463,0.55892944,0.5297232,0.25156948,0.25341308,0.25988695,0.6297078132629395,0.6604049205780029,0.6180613040924072,0.8209831714630127,0.8360618352890015,0.724746823310852,0.0,0.0,0.0,0.811836838722229,0.8082056045532227,0.7658467888832092,2.820520401000977,2.561645984649658,2.4155523777008057,1,1,1,3,3,3
"Despite having many troubles during his reign , Arshak II was able to change many parts of his kingdom for the better .",4,Arshak II made some good changes.,Arshak II made good changes to his kingdom even though he had many problems.,Arshak II made some good changes to his kingdom despite many problems.,0.34727222,0.5686427,0.5740211,0.15015988,0.46423492,0.4490368,0.6801403164863586,0.9135375618934632,0.9140177965164183,0.9263634085655212,0.9793888926506042,0.96353679895401,0.0,0.0,0.0,0.2594697177410126,0.7910648584365845,0.7758374810218811,1.6147220134735107,1.0744595527648926,-0.435464859008789,1,1,1,3,3,3
It is possible to walk upon the walls for roughly half the circumference .,4,You can walk on the wall for a bit.,You can walk along the walls for a lot of the way.,You can walk on the walls for half of the way around.,0.64318824,0.5951622,0.65718114,0.39975417,0.4568329,0.5397657,0.6847429871559143,0.6930607557296753,0.8027347922325134,0.8898021578788757,0.7855851650238037,0.8603793978691101,0.0,0.0,0.0,0.8798719644546509,1.007610321044922,0.9866976737976074,1.8883240222930908,1.0876188278198242,1.8941776752471924,1,1,1,2,2,2
"In May 1863 , the inspector-general had directed the police to act on their own initiative .",4,"In May 1863 , the police had to do something .","In 1863, the police made their own decisions.","In May 1863 , the police were told to make their own decisions.",0.7611996,0.69710946,0.7597075,0.5032026,0.41349635,0.6189897,0.7139781713485718,0.717729926109314,0.7166315913200378,0.7883241772651672,0.905516505241394,0.8844648599624634,0.0,0.0,0.0,0.6294757127761841,0.7855808138847351,0.8551901578903198,3.3940298557281494,3.1713650226593018,3.15998911857605,1,1,1,2,3,3
"Some engineering students and engineers carried ten-inch slide rules in belt holsters , and even into the mid 1970s this was a common sight on campuses .",4,Some students wore calculators on their belts.,Engineering students used to carry special rulers in their belts. Many engineers still used them in the 1970s.,Engineering students often carried big calculators in their belts.,0.5217554,0.59589976,0.54164845,0.1425403,0.33138737,0.21282959,0.5623264908790588,0.6315874457359314,0.5518040060997009,0.0490454025566577,0.9178888201713562,0.0575398840010166,0.0,0.0,0.0,0.0707627907395362,0.9044808745384216,0.1785419434309005,2.7847609519958496,2.5339646339416504,1.503098964691162,1,1,1,3,3,3
Tuckwell left the orchestra in 1968 and spent the rest of his career performing as a soloist and conductor .,4,"After the orchestra, Tuckwell played music on his own and led groups.","After leaving the orchestra, Tuckwell became a soloist and conductor.","After leaving the orchestra in 1968, Tuckwell performed as a soloist and conductor.",0.33391324,0.66240424,0.72864056,0.26400253,0.47684377,0.59498703,0.7341330051422119,0.8915730118751526,0.9673038125038148,0.2711274325847626,0.9595654010772704,0.968330144882202,0.0,0.0,0.0,0.6579578518867493,0.6828365325927734,0.644450306892395,1.0610384941101074,0.4187490940093994,-0.679587721824646,1,1,1,3,3,3
Frontal bossing is when the forehead becomes bigger than normal which may also make the brow ridge stick out more .,4,Some people have big foreheads. Their eyebrows look different because of it.,Frontal bossing makes your forehead bigger than normal.,Frontal bossing happens when the forehead gets bigger and the brow ridge sticks out more.,0.3772291,0.72505426,0.81238884,0.1274285,0.41397318,0.59973544,0.5466358065605164,0.8807756900787354,0.9704784154891968,0.5878859162330627,0.9667544960975648,0.9791660904884338,0.0,0.0,0.0,0.134733572602272,0.6882226467132568,0.8484055399894714,0.8623287677764893,1.118244171142578,0.7412405014038086,1,1,1,3,3,4
The role of a gamemaster in an online game is to enforce the game 's rules and provide general customer service .,4,Someone helps you in the game.,"In an online game, the boss makes sure everyone follows the rules and helps them if they need it.","In an online game, the gamemaster helps players and makes sure they follow the rules.",0.45807207,0.39227194,0.61335266,0.11872405,0.32824278,0.4498217,0.3860013484954834,0.6715839505195618,0.8695521354675293,0.6428165435791016,0.6793248653411865,0.837002158164978,0.0,0.0,0.0,-0.278681993484497,0.8040269017219543,0.9014503955841064,2.694097399711609,1.530065655708313,1.4448927640914917,1,1,1,2,3,3
"Confetti are made in a variety of colors , and commercially available confetti come in many different shapes .",4,Confetti come in lots of colours.,Confetti come in different colours and shapes.,Confetti are made in different colours and come in different shapes.,0.67022175,0.6978895,0.7599134,0.39264712,0.43137145,0.54506165,0.8219565153121948,0.8920485973358154,0.9154525995254515,0.9541276097297668,0.9586219191551208,0.9849104285240172,0.0,0.0,0.0,0.6648650169372559,0.6482697129249573,0.7511799335479736,2.719003677368164,2.3889636993408203,1.6967997550964355,1,1,1,3,3,3
"There are 242 tokens on the disc , comprising 45 distinct signs .",4,There are many signs on the disc. They have different symbols.,There are 242 symbols on the disc and they have 45 different kinds.,There are 242 symbols on the disc. They come in 45 different types.,0.6122069,0.5838702,0.59354377,0.40194017,0.52634895,0.51091665,0.6133002042770386,0.8207347989082336,0.8147279620170593,0.5504389405250549,0.8372750282287598,0.8570039868354797,0.0,0.0,0.0,0.9082810282707214,0.8306072354316711,0.9109634160995485,2.846804976463318,1.9565259218215945,2.563709855079651,1,1,1,3,3,3
"JLab houses the world 's most powerful tunable free-electron laser , with an output of over 14 kilowatts .",4,JLab has a very strong laser that is powerful.,JLab has the world's most powerful laser in the world.,JLab has a very powerful laser that produces 14 kilowatts of energy.,0.63349694,0.7764993,0.7140965,0.12964068,0.26331806,0.374575,0.7524335384368896,0.743661105632782,0.8120233416557312,0.922955334186554,0.9077108502388,0.8830008506774902,0.0,0.0,0.0,0.4587855935096741,0.7330988049507141,0.6487612128257751,2.098691701889038,2.560814619064331,1.0855271816253662,1,1,1,3,3,3
Strong 's endorsement of left-wing causes set her apart from her colleagues on the school board .,4,She has strong ideas that are different from her colleagues.,Strong was different from her fellow school board members because she believed in left-wing ideas.,"Strong supported left-wing causes, which made her different from other school board members.",0.4432047,0.62554324,0.7145741,0.28554577,0.5251024,0.5912715,0.6365231871604919,0.8358659148216248,0.8826103210449219,0.7883031368255615,0.9545820951461792,0.9622485637664796,0.0,0.0,0.0,0.4739883542060852,0.946250319480896,0.9156628847122192,1.2410049438476562,1.9016509056091309,1.187333345413208,1,1,1,3,3,3
The chassis are made of chrome moly tubing .,4,Car bodies are made of metal.,Car frames are made of metal tubes.,Chassis are made of strong metal tubes.,0.61000514,0.72864056,0.6035507,0.30028582,0.47869164,0.4444122,0.5500357151031494,0.5738406181335449,0.7565755248069763,0.5204187035560608,0.5439571738243103,0.5781132578849792,0.0,0.0,0.0,0.4968114495277405,0.8461902141571045,0.7566416263580322,1.6462068557739258,1.9972617626190183,1.6930875778198242,1,1,1,2,2,3
"On firearms , bipods are commonly used on rifles and machine guns to provide a forward rest and reduce motion .",4,People use sticks to help them hold their big guns.,People use special sticks to help keep their guns steady.,"On some guns, we use special stands to help keep them steady.",0.35596207,0.35078707,0.39280537,0.15634476,0.16142918,0.23495716,0.4125489294528961,0.4126516580581665,0.434251993894577,0.0472801774740219,0.2894355654716491,0.415757268667221,0.0,0.0,0.0,0.0733877494931221,0.122896634042263,0.4298712313175201,3.1766557693481445,3.0978407859802246,2.773017406463623,1,1,1,2,3,3
"Although the sweet potato is not closely related botanically to the common potato , they have a shared etymology .",4,Sweet potatoes and normal potatoes are related.,"Sweet potatoes and regular potatoes are not the same plant, but they come from the same family.","Although the sweet potato and the common potato come from different plants, they have a similar name.",0.5270524,0.36071822,0.5993807,0.21614468,0.2766153,0.42147532,0.767865777015686,0.8263372778892517,0.8877130150794983,0.2279569208621978,0.3137115240097046,0.2074280977249145,0.0,0.0,0.0,0.2932290434837341,0.9675114154815674,1.0094077587127686,2.4739792346954346,1.5947792530059814,0.8149235248565674,1,1,1,2,2,3
The burden of proof is always on the person who brings a claim in a dispute .,4,"If you complain, you need to show us proof.","When someone complains, they need to show why.","In a dispute, the person who makes a claim has to prove it.",0.32639077,0.31982625,0.58826905,0.112189345,0.15216939,0.41328022,0.4817340672016144,0.330839067697525,0.7887974977493286,0.1727041453123092,0.2999781370162964,0.9701994061470032,0.0,0.0,0.0,-0.1293545216321945,0.2034088969230651,0.5035972595214844,0.5535926818847656,1.2105340957641602,1.639315128326416,1,1,1,3,2,3
The guaracha is a genre of rapid tempo and with lyrics .,4,Guaracha music is fast and has lyrics.,Guarachas are fast songs that have words.,Guaracha music is fast and has lyrics.,0.5281434,0.40670702,0.5281434,0.45828316,0.3713614,0.45828316,0.8550501465797424,0.8422704339027405,0.8550501465797424,0.9721583724021912,0.9684742093086244,0.9721583724021912,0.0,0.0,0.0,0.4356965720653534,0.5670754313468933,0.4356965720653534,1.4582056999206543,1.6799497604370115,1.4582056999206543,1,1,1,3,3,3
"Whether counsel is retained or appointed , the defendant has a right to counsel without a conflict of interest .",4,"If you get a lawyer, they will help you.","If you have a lawyer, you have the right to get advice from someone who isn't against you.","If you have a lawyer, you will have someone who can help you without having a conflict of interest.",0.29602602,0.35815,0.38392982,0.13631794,0.25334835,0.30723968,0.2416145950555801,0.4334039390087127,0.4353404343128204,0.09009750187397,0.8171568512916565,0.702934980392456,0.0,0.0,0.0,0.0195665434002876,0.7320678234100342,0.6667671203613281,3.789282381534576,1.7514117360115051,0.3854587078094482,1,1,1,2,3,3
"Bharal are active throughout the day , feeding and resting on the grassy mountain slopes .",4,They rest and eat on the mountain all day.,They are active all day. They eat and rest on mountainsides.,"In the day, Bharal feed and rest on mountain slopes.",0.5313575,0.7446162,0.5101836,0.26971024,0.52217,0.40321252,0.6238754987716675,0.677906334400177,0.9231936931610109,0.9130849242210388,0.958457052707672,0.9765694737434388,0.0,0.0,0.0,0.326092392206192,0.8120965361595154,0.2284464836120605,0.95754075050354,0.8182308673858643,0.6124565601348877,1,1,0,2,3,3
"A for-loop has two parts : a header specifying the iteration , and a body which is executed once per iteration .",4,There are two parts to a loop: what you say first and what happens again and again.,An 'A for-loop' is used to repeat something and do something each time.,There are two parts to a for-loop: what happens each time and what happens inside.,0.30889577,0.25671107,0.38992763,0.16211471,0.0642558,0.26051375,0.5805535912513733,0.783609926700592,0.7956356406211853,0.532379150390625,0.7166935801506042,0.2527547776699066,0.0,0.0,0.0,0.4355487525463104,0.5224066972732544,0.61236572265625,1.529252052307129,1.8031606674194336,1.511768817901611,1,1,1,3,3,3
Orders of magnitude are generally used to make very approximate comparisons .,4,Orders of magnitude help us compare things.,Orders of magnitude help us compare things roughly.,We use orders of magnitude to make rough comparisons.,0.6551612,0.7030684,0.6000652,0.3340633,0.4342536,0.40842995,0.759233832359314,0.7861173748970032,0.8776005506515503,0.954432249069214,0.9554845690727234,0.6050580739974976,0.0,0.0,0.0,-0.1239860355854034,-0.1451954692602157,-0.0289322398602962,3.0252782106399536,2.210808634757996,1.0616379976272583,1,1,1,3,3,3
There are several types of wordplay used in cryptics .,4,People play word games.,Cryptics use wordplay.,Cryptics use different kinds of wordplay.,0.49082783,0.53032106,0.5907732,0.14096376,0.20702957,0.39408502,0.4549384713172912,0.91886568069458,0.93448144197464,0.8849442601203918,0.99088317155838,0.9879130721092224,0.0,0.0,0.0,-0.2323096245527267,0.2395166009664535,0.6357188820838928,0.6901190280914307,0.4011294841766357,0.2739222049713135,1,1,1,1,4,4
"A grenade explosion blew Apiata off the bonnet of his vehicle , where he had been sleeping .",4,An explosion threw Apiata off the car.,Apiata was thrown off a car by an explosion from a grenade while he was sleeping.,An explosion from a grenade woke Apiata up and threw him off his vehicle.,0.7414102,0.45913085,0.6436817,0.32137343,0.32616252,0.43386698,0.7529488801956177,0.9226287603378296,0.8737053275108337,0.948639750480652,0.9161924123764038,0.5808828473091125,0.0,0.0,0.0,0.8414781093597412,0.7301346659660339,0.9238779544830322,1.2034540176391602,0.2741703987121582,0.3272459506988525,1,1,1,3,4,4
"Most myosin molecules are composed of a head , neck , and tail domain .",4,"Myosin has three parts: a head, a middle, and a tail.","Myosin molecules have a head, a middle part, and a tail.","Myosin molecules have a head , a neck , and a tail .",0.35128763,0.48685768,0.6145402,0.24957694,0.37334546,0.5114416,0.7847049832344055,0.910968780517578,0.9259191751480104,0.8077824711799622,0.8761115670204163,0.9915944933891296,0.0,0.0,0.0,0.7816857099533081,0.3423304557800293,-0.5839622020721436,1.7061541080474854,0.8290004730224609,1.243751049041748,1,1,1,3,4,4
"Academic research into wide area networks can be broken down into three areas : mathematical models , network emulation and network simulation .",4,"When we research computers, we do three things: we make models, test them, and use a computer to see how they work.","Research into big computer networks involves three things: making models, testing networks, and simulating networks.","Research into computer networks is divided into three parts:mathematical models, network testing, and network simulation.",0.2716909,0.52141577,0.6570216,0.22378124,0.35545903,0.57657635,0.3607734143733978,0.76373690366745,0.7303828597068787,0.2143662273883819,0.883216917514801,0.7231056690216064,0.0,0.0,0.0,0.948977530002594,0.7007229924201965,0.5335369110107422,2.303056240081787,1.52449631690979,-0.0271165370941162,1,1,1,3,3,4
"Islam also has its own form of Theistic evolution , which says that mainstream scientific analysis of the origin of the universe is supported by the Qur'an .",4,Some Muslims think science and the Quran tell us the same thing about where the world came from.,Some Muslims think that the Quran and science say the same thing about the beginning of the world.,"In Islam, some people believe that the universe was created according to science and what the Qur'an says.",0.39480972,0.4893074,0.43395382,0.25713745,0.28997156,0.29643518,0.6690695881843567,0.625925600528717,0.7664681673049927,0.5510538220405579,0.3491224348545074,0.8210326433181763,0.0,0.0,0.0,0.3289408087730407,0.67974454164505,0.9549797773361206,3.390500724315644,3.426515519618988,1.7211312651634216,1,1,1,3,3,3
