Sentence,Rating,llm_gene_CEFR1,llm_gene_CEFR2,llm_gene_CEFR3,pred_1,pred_2,pred_3
Sally likes to wiggle her loose tooth to make the younger children laugh .,4,Sally wiggles her tooth and makes the kids smile .,Sally likes to play with her loose tooth to make kids laugh .,Sally likes to wiggle her loose tooth to make the kids laugh .,3,3,3
Titanium is commonly found in the earth 's crust .,4,You can find a special metal called titanium underground.,There is titanium in the earth 's crust .,You can find titanium in the earth 's crust .,3,4,4
I tried to do my homework but was distracted by my neighbor 's loud television .,4,My neighbor 's TV is too loud . I cannot do my homework .,There was a TV on next door and it made me forget my homework .,My neighbor 's loud TV stopped me from doing my homework .,2,2,2
They were able to track the astronauts ' return and quickly get to the area where they landed .,4,People saw the astronauts coming down from the sky and went to where they would land .,People could watch the astronauts come back and go to where they landed .,They could track the astronauts ' return and quickly reach the place where they landed .,3,3,3
"Once boot options have been selected , GRUB loads the selected kernel into memory and passes control to the kernel .",4,"GRUB loads the operating system into your computer's memory and starts it . (Simplified by removing ""chosen"")","When you choose your boot options , GRUB starts the computer . (or) GRUB starts the computer after you choose your boot options .","After choosing your settings , GRUB starts the computer with the chosen operating system . OR GRUB loads the chosen operating system into memory and starts it .",4,3,3
"In the very early versions of quicksort , the leftmost element of the partition would often be chosen as the pivot element .",4,"Quicksort starts with the first number in the list .(Here, ""early versions"" has been deleted, and ""quick sort program"" has been replaced with a more general term ""quicksort"", and ""pivot"" has been replaced with ""number"".)",Quicksort often starts with the first item on the list .,"In the first versions of quicksort , the first element was usually the pivot .(Original sentence rewritten for B1 CEFR level language learners)",4,3,4
"Passes are synced between iOS devices using iCloud , and OS X 10.8.2 and later also support opening passes to be sent to users ' iOS devices .",4,"If you have an iPhone or a Mac, you can send passes to your friends.",You can share passes with your other Apple devices using iCloud .You can also send passes to your iPhone or iPad from your Mac .,"You can share passes between your iOS devices . If you use Mac OS X 10.8.2 or later , you can also send passes to your iOS devices .",2,3,3
"In contrast , a real image is one that is formed when the outgoing rays from a point converge at a real location .",4,We see an image when light rays meet .,Light rays come together to form an image .,"A real image is formed when light rays from a point come together at a real place . (Note: 'converge' is replaced with 'come together', and 'at a real location' is replaced with 'at a real place'.)",3,3,4
"In British English , a car of this configuration is called a saloon .",4,"In Britain, this type of car is called a saloon .","In Britain , people call this type of car a saloon .","In Britain , people call this type of car a saloon . (or In Britain , they call this type of car a saloon .)",3,3,3
"There is a huge statue erected in honor of all the Netherlands sea-rescuers , opened in 1935 and is sometimes mistakenly assumed to honor Dorus .",4,There is a statue in the Netherlands to thank people who save lives at sea .,There is a big statue in Holland to remember people who saved lives at sea .It was made in 1935 to honour a man called Dorus Rijkers .,There is a big statue in the Netherlands that honours people who save lives at sea .It was built in 1935 but some people think it was made for a man called Dorus .,3,3,3
"Despite having many troubles during his reign , Arshak II was able to change many parts of his kingdom for the better .",4,Arshak II was a king . He had many problems . But he did some good things for his country .,"Arshak II was a king who had many problems, but he also made some good changes.","Arshak II was a king who had many problems , but he still managed to improve his country .",3,3,3
It is possible to walk upon the walls for roughly half the circumference .,4,You can walk on the walls . (A1 level),You can walk on the walls for part of the way .,You can walk on the walls for about half the way around .,2,2,2
"In May 1863 , the inspector-general had directed the police to act on their own initiative .",4,Police made their own choices in May 1863 .,"In May 1863 , police officers were allowed to make their own decisions .","In May 1863 , the police were told to make decisions on their own . (or) In May 1863 , the police got permission to make their own decisions . (or) In May 1863 , the police were given freedom to decide what to do .",2,3,3
"Some engineering students and engineers carried ten-inch slide rules in belt holsters , and even into the mid 1970s this was a common sight on campuses .",4,Students used big slide rulers . They used them until the 1970s .,Students and engineers used to carry calculators in their belts .,"Some engineering students and engineers used to carry big slide rulers in special cases around their waists .Even in the 1970s , this was still a common sight on college campuses . Original sentence: B1 level language learner Can read straightforward factual texts on subjects related to their field of interest with a satisfactory level of comprehension.",3,3,4
Tuckwell left the orchestra in 1968 and spent the rest of his career performing as a soloist and conductor .,4,"He stopped playing with the orchestra in 1968 . After that , he worked alone and sometimes led other orchestras .The original sentence is:In 1968 , Tuckwell left the orchestra . He then worked alone and led orchestras . Please rewrite this sentence in order to make it easier to understand for A1 CEFR level language learners.",He played with an orchestra after 1968 .,"After leaving the orchestra in 1968 , Tuckwell worked as a solo musician and conductor .",3,2,3
Frontal bossing is when the forehead becomes bigger than normal which may also make the brow ridge stick out more .,4,"If you have a big forehead , your eyebrows might look funny .","If someone has a big forehead , it makes their eyebrows look bigger too .","When the forehead gets bigger than usual , it can also make the eyebrow bone stick out more .(This is called frontal bossing .)",3,3,4
The role of a gamemaster in an online game is to enforce the game 's rules and provide general customer service .,4,There is a person who helps you in an online game .They make sure you play fairly and help you if you need it .,"In an online game, a person helps players and answers their questions.","In an online game , a gamemaster makes sure everyone follows the rules and helps players if they need it .",3,3,3
"Confetti are made in a variety of colors , and commercially available confetti come in many different shapes .",4,Confetti is colourful and comes in different shapes .,You can buy confetti in different colours and shapes .,Confetti come in many different colours and shapes .,3,3,3
"There are 242 tokens on the disc , comprising 45 distinct signs .",4,There are 242 symbols on the disc . They are different signs .,The disc has many symbols . Some of them are signs . (Simplified),There are 242 signs on the disc .They are all different from each other .,3,3,3
"JLab houses the world 's most powerful tunable free-electron laser , with an output of over 14 kilowatts .",4,"JLab has a strong laser . (I replaced ""powerful"" with ""strong"".)",JLab has a very powerful laser that produces a lot of energy .,JLab has a very powerful laser that produces over 14 kilowatts .You can use the following strategies to simplify the sentence:,3,3,4
Strong 's endorsement of left-wing causes set her apart from her colleagues on the school board .,4,She likes helping people in need .,She supports left-wing causes . This is different from her colleagues .,Strong supports left-wing causes and is different from her colleagues on the school board .,2,3,3
The chassis are made of chrome moly tubing .,4,Cars have metal bodies .,Car chassis are made of metal tubes.,Chassis are made of strong metal tubes.,1,3,3
"On firearms , bipods are commonly used on rifles and machine guns to provide a forward rest and reduce motion .",4,We use a stand to keep a big gun stable .,You can use a special stick to help a big gun stay steady when you shoot .,Some people use special supports for their guns to help them shoot more steadily .,3,3,3
"Although the sweet potato is not closely related botanically to the common potato , they have a shared etymology .",4,Sweet potatoes and normal potatoes come from different families .They are a bit alike .,"Sweet potatoes and normal potatoes are similar, but they belong to different families . (Note: This sentence is still too hard for an A2 level learner as it contains two abstract concepts, 'closely related' and 'belong to different families'.)","Although sweet potatoes and normal potatoes are not closely related , they have a similar name origin .",3,4,3
The burden of proof is always on the person who brings a claim in a dispute .,4,You need proof when you complain.,"When someone says something is true, they need to show that it really is .","In a dispute , the person who makes a claim must prove it .",2,2,3
The guaracha is a genre of rapid tempo and with lyrics .,4,"Guaracha is a fun and happy music style with simple songs . ( deleted ""easy-to-understand"" which is redundant and replaced with ""simple"" which has the same meaning)",Guaracha music is fast and loud . (Compression: omitted 'has a lot of words' which is not important),Guaracha music is fast and has many words . The guaracha is a type of music that is very fast and has a lot of lyrics . Guaracha music is a style of music that is quick and has many words .,4,4,3
"Whether counsel is retained or appointed , the defendant has a right to counsel without a conflict of interest .",4,You can have your own lawyer or the court will choose one for you . But your lawyer must be on your side .,"If you get a lawyer , he will help you .","When you get a lawyer , they must not have a conflict of interest .",3,2,3
"Bharal are active throughout the day , feeding and resting on the grassy mountain slopes .",4,They sleep on the grassy mountains during the day .,Bharal are active during the day . They eat and sleep on grassy mountains . ( deletion of 'feed' and 'rest'),They move around all day and rest on the grassy mountainsides.,3,4,3
"A for-loop has two parts : a header specifying the iteration , and a body which is executed once per iteration .",4,There are two parts to a for-loop . One part says how many times to do something . The other part says what to do each time .,There are two parts to a for-loop . The first part says how many times to repeat something . The second part says what happens each time .,A for-loop has two parts . The first part says how many times to repeat something . The second part is what happens each time .,3,3,3
Orders of magnitude are generally used to make very approximate comparisons .,4,We use rough numbers to estimate things .,We use big numbers to compare things .,We use orders of magnitude to make rough comparisons .( Paraphrased ),3,2,4
There are several types of wordplay used in cryptics .,4,People like to play with words .,Cryptics use tricks with words .,Cryptics use different kinds of wordplay . (or),2,3,4
"A grenade explosion blew Apiata off the bonnet of his vehicle , where he had been sleeping .",4,Apiata was thrown off a car because there was a bomb under it.,Apiata was blown off his vehicle when a bomb went off .,Apiata was thrown from the car by an explosion.,3,3,3
"Most myosin molecules are composed of a head , neck , and tail domain .",4,Myosin has three parts .(Simplified sentence),"Myosin is made up of three parts : a head , a neck , and a tail .","Myosin molecules are made up of three parts: a head , a neck and a tail .",4,3,4
"Academic research into wide area networks can be broken down into three areas : mathematical models , network emulation and network simulation .",4,"There are three ways to study wide area networks .They are mathematical models , making fake networks and testing them . OR We have three main ways to study wide area networks : mathematical models , network imitation and network simulation . OR We can divide research on wide area networks into three parts : mathematical models , making fake networks and testing them . OR Research on wide area networks is divided into three main areas : mathematical models , network imitation and network simulation .","Research on big computer networks can be divided into three parts : maths , copying real networks and making fake networks .","Research into wide area networks can be divided into three parts : mathematical models , network testing and computer simulations .",4,3,4
"Islam also has its own form of Theistic evolution , which says that mainstream scientific analysis of the origin of the universe is supported by the Qur'an .",4,Some people think God made the world . OR Some people believe God made the world . OR People think God made the world .,The Quran says the universe was made a long time ago .,Some Muslims believe that the creation story in the Qur'an agrees with modern science about how the universe was made .,3,3,3
"Tuning a timpani by turning every tension rod by itself can be very hard , so some timpani makers invented different ways to change the drum 's pitch more quickly .",4,Making a drum sound good is difficult . Some people make drums now to help .,Making a drum sound different can be hard . People who make drums found a way to make it easier .,Changing the sound of a timpani can be difficult . Some people who make timpanis have found ways to make it easier .,2,3,3
"The following table is a list of MPs elected on 5 May 2005 , ordered by constituency .",4,"I like dogs more than cats .(Explanation: Preferred is replaced with liked more , which retains the same meaning)",Here is a list of some MPs who won their seats in May 2005 .,"Here is a list of MPs elected in 2005 , arranged by area . [ or:Here is a list of the MPs elected on 5 May 2005 .]",4,3,3
"There are two principal workarounds to this problem , which substitute digraphs for the accented letters .",4,You can write the letter without a mark on top or use a different letter instead.,You can solve this problem in two ways . One way is to use special letters called digraphs instead of accents .,There are two ways to solve this problem . One way is to use special letter combinations instead of the letters with accents .,3,4,3
Oral sex is genital stimulation by the mouth .,4,Don 't touch someone 's private parts with your mouth .,This is when one person touches another person 's private parts with their mouth .,This is when someone uses their mouth to stimulate the genitals.,2,3,4
"In computing , at least internally , metric time gained widespread use for ease of computation .",4,Computers use a special clock to help them do maths .,Computers now use a special clock for easier calculations .,Computers now often use metric time for internal calculations because it makes them easier .,3,3,3
"In order for an officer to seize an item , the officer must have probable cause to believe the item is evidence of a crime or is contraband .",4,An officer needs a good reason to take something from you.,You need a good reason to take something that doesn’t belong to you .,An officer can only take something if they think it might be connected to a crime or is illegal .,2,2,3
As the price of scrap metal has increased plaques have been the target of metal thieves wishing to resell the metal for cash .,4,Some people take metal plaques to sell them .,People are stealing plaques because they can sell the metal inside them for money.,Plaques are now being stolen because people want to sell the metal they contain for money.,3,3,3
The cause of the vibrations during the first stage of the flight was well known .,4,The plane shook a lot at the start of the flight .,There were problems with shaking on early flights .,There was a problem with vibrations during the first stage of the flight . 1)Replace complex words with simpler synonyms,3,3,5
"The individual mineral grains in schist , drawn out into flaky scales by heat and pressure , can be seen by the naked eye .",4,Schist is made of small pieces of minerals .You can see them when you break it into thin parts .(Or) Schist has small mineral pieces inside .They are visible when you cut it thinly .(Or) Schist is a rock that breaks into thin layers .You can see the tiny minerals inside .,You can see small rocks in schist if you look carefully .,Schist is made up of thin layers of different minerals that you can see with your eyes .,4,3,4
"Individual rolls of 135 film are enclosed in single-spool , light - tight , metal cassettes to allow cameras to be loaded in daylight .",4,Cameras work well in daylight .,Film is protected by a metal case .This helps us use the camera in the day .,Film rolls come in small metal boxes to protect them from light .These boxes let you load the camera in the daytime .,3,3,3
These incidents led to reforms in the packaging of over- the -counter medications and to federal anti-tampering laws .,4,Medicines come in different packages now . We have rules to prevent people from opening them .,"Medicines are now packaged better , and there are new rules to prevent people from messing with them .",There were changes to how medicines are packaged . The government also made new laws against medicine tampering .,3,3,3
"In the center is a machete and hoe , representing the revolution through which the nation gained independence and the importance of agricultural workers .",4,"In the picture, there is a machete and a hoe . This shows how people fought for freedom and worked hard.","If you want to make a good impression , find out some basic facts about the occasion .",In the middle is a machete and a hoe . This shows the country 's struggle for independence and the importance of farmers .(Note: The above example assumes that the reader is familiar with the context of the sentence.),3,3,4
There is a large variety of colleges in the SUNY system with some overlap in specialties between sites .,4,Some colleges in SUNY have the same classes .,There are many different colleges in the SUNY system . Some colleges have similar courses at different locations .,There are many different colleges in the SUNY system . Some of them offer similar courses .,2,3,3
"Dimensional lumber is lumber that is cut to standardized width and depth , specified in inches .",4,Wood is cut into small pieces .,Wood is cut to standard sizes and called standard lumber .,Dimensional lumber is cut to standard sizes in inches .This example shows how the complex sentence was broken down into two simpler sentences:,2,3,4
"All Group 11 elements are relatively inert , corrosion - resistant metals .",4,Group 11 elements are very strong and difficult to break .,Group 11 elements are not very good at reacting and don't rust easily .,Group 11 elements are not very reactive and are good at resisting corrosion .,3,3,5
"Nausea is a non-specific symptom , which means that it has many possible causes .",4,There are many reasons why you feel sick .,You can feel sick for many reasons .,You can feel sick to your stomach for many different reasons .,2,2,2
Whitbourne has many of the facilities of a small town that has traditionally been a regional service center .,4,"There are shops in Whitbourne .( deletion of unimportant information: ""normal"" is not necessary)","Whitbourne has shops, schools, and other things that you find in a normal town .",Whitbourne has some of the things you would expect in a small town .It is a regional service center .,4,3,3
"Although the need for a better airport was acknowledged in 37 studies conducted between 1926 and 1938 , there was a statutory prohibition against federal development of airports .",4,People thought we needed a new airport .But there's a problem - a rule stops the government from building it .,People thought we needed a better airport . But the government couldn’t make it better .,Many reports from 1926 to 1938 said we needed a new airport .But the government was not allowed to build one .,3,2,3
"The mons pubis is the soft mound of fatty tissue at the front of the vulva , in the pubic region covering the pubic bone .",4,"At the front of a woman's body there is a small fatty lump .This is called the mons pubis .It covers a bone in the pelvis .Here is the original complex sentence:Some people think that the best way to learn a language is to move to a country where that language is spoken , but others believe that it is better to stay in your own country and learn from books , videos and online courses .Please simplify this sentence for A1 CEFR level language learners.",You have a soft pad of fat on your body below your belly button . It protects your bones .,"At the front of the vulva , there is a small mound of fatty tissue called the mons pubis . It covers the pubic bone .",4,3,4
Virenque was criticized by the media and satirists for his denial in the face of increasing evidence and his pretence of having been doped without his knowledge .,4,"People thought Virenque lied because he said he didn't cheat, but they found proof that he did.","Some people said Virenque cheated .(The word ""denying"" is replaced with ""said"", which has a similar meaning. The rest of the sentence is deleted to make it concise.)",Virenque was criticised by the media for denying he had cheated even when there was a lot of evidence against him .,3,4,4
This phrase is British in origin and derives from sports that use goalposts .,4,"Some sports use big sticks or poles . (replaced ""posts"" with ""big sticks or poles"")",This phrase comes from sports that use goalposts .,This phrase comes from sports like football and rugby .,3,3,2
The melodic and harmonic versions of the scale are written in with accidentals as necessary .,4,Music uses special signs .,We use sharps and flats on music sheets to show certain musical scales .,You will find the melodic and harmonic versions of the scale written with accidentals as needed . (Note: You could also split this sentence into two simpler ones: The melodic and harmonic versions of the scale are written in music. Accidentals are used as necessary.),2,3,4
"Further anatomical study led him to the conclusion that 'individual Africans differ as much , or even more , from other Africans as from Europeans ' .",4,People from Africa are different from each other .(This is an example of a sentence that A1 CEFR learners can understand.),He looked deeper into the human body and discovered that people from Africa are not the same as people from Europe .,Further study showed that people from Africa are just as different from each other as they are from people from Europe .,3,3,3
"Due to its position , the hyoid bone does not fracture easily .",4,We don't often hurt our necks when we are safe .,It is hard to break the hyoid bone .,This bone is strong and doesn't break easily because of where it is in the body.,2,3,3
The protected area is part of the Terai-Duar savanna and grasslands ecoregion .,4,There are green fields and trees here.,There are many savannas and grasslands in this area . Rewrite the complex sentence as a simple one for A2 CEFR level language learners.,"This protected area is part of the Terai-Duar savanna and grasslands ecosystem . (Here, ""ecoregion"" is replaced with the simpler synonym ""ecosystem"")",1,4,5
Ammunition makers often offer several bullet weights and types for a given cartridge .,4,"There are many types of bullets for guns .(Replaced ""different kinds"" with ""many types"", which is more familiar to A1 learners)","Bullet makers sell different kinds of bullets for each cartridge .(The above sentence has been rewritten by replacing the complex word ‘manufacturers’ with a simpler synonym ‘makers’, and by simplifying the phrase ‘weights and types of bullets’ into ‘different kinds of bullets’. Furthermore, the phrase ‘for one cartridge’ has been compressed into ‘for each cartridge’.)",Bullet makers offer different weights and types of bullets for a cartridge .,3,5,3
"The evolutionary history of scorpions goes back to the Silurian , 430 million years ago .",4,Scorpions have lived for a long time .,Scorpions have been on Earth for a long time .,Scorpions have been around for over 430 million years .,3,3,3
"However , because conventions are not textually based , their existence and practice are open to debate .",4,"Some people think conventions are rules . Others disagree because they are not in a book . or People have different opinions about conventions . or Some people think conventions are real , but others don’t .","We don’t know if people use conventions or not . (Note: This simplification has been done using a paraphrase technique. The original sentence contains a word 'textually', which has been replaced with 'clear proof'.)","Conventions are not clearly written down , so people argue about whether they really exist or not .",3,5,3
"In the end the use of neusis was deemed acceptable only when the two other , higher categories of constructions did not offer a solution .",4,We have to use neusis if we can't use anything else .,"If we can't use other ways , neusis is okay .","If we can't use the other two types of construction, then neusis is okay.",3,3,3
"The municipality key consists of eight digits , which are generated as follows : The first two numbers designate the individual German state .",4,What is the town’s code ?,There are eight numbers on the code . These numbers say which state you are from .,The municipality code has eight digits . The first two numbers show which German state it belongs to .,1,2,3
"Gunfire can be confused with other noises that can sound similar , such as firework explosions and cars backfiring .",4,Gunfire sounds like fireworks .,Gunfire sounds like fireworks . (Deletion of unimportant information),Fireworks and car backfires can sound like gunshots .,2,4,4
"The short - beaked common dolphin is a medium-sized dolphin , but is smaller than the other species of the genus Delphinus , the long- beaked common dolphin .",4,There are two types of dolphins . One is small . The other is big .,Delphinis delphis is a small dolphin .,The short-beaked common dolphin is a medium-sized dolphin . It is smaller than another dolphin called the long-beaked common dolphin .,2,4,4
Pavement lights and related products were historically marketed as a way of saving on artificial lighting costs and making space more usable and pleasant .,4,They used to use pavement lights to save money on lighting .,Old streetlights helped people save money on lighting costs and made their homes more comfortable .,People used to think that pavement lights could save money and make spaces look nicer .,3,3,3
The state agency operates with an annual appropriation of approximately six million dollars and approximately 100 employees .,4,They earn a lot of money and have many employees .,The state agency gets six million dollars a year . They have 100 workers .,This state agency has about 100 workers and gets around six million dollars each year .,2,2,3
"Boomerang coasters have occasionally stalled , often in the Cobra Roll element .",4,Boomerang coasters don’t always work.They break down at the big drop part .,"Boomerang coasters sometimes don't work well, especially on the Cobra Roll part.","Sometimes boomerang coasters get stuck , usually at the Cobra Roll part .",3,3,4
Modern instruments classified as bugles are often valved .,4,Bugles have valves now .,Modern bugles often have valves .,Some modern bugles are valved .,2,3,4
"The third act is dominated by the puppet show , a play within the play .",4,He is happy .,There is a play within a play in the third act .,"In the third act , there is a play about puppets .",1,3,3
"Embedded systems often reside in machines that are expected to run continuously for years without errors , and in some cases recover by themselves if an error occurs .",4,Some machines work all the time . They can fix problems by themselves .,Some machines must work all the time for many years . They should be able to repair themselves if something breaks .,"Some machines need to keep running without stopping for years . If they make a mistake , they should be able to fix it on their own .",2,3,3
Chameleons have the most distinctive eyes of any reptile .,4,Chameleons have big eyes .,Chameleons have special eyes that help them see things clearly .,Chameleons have very special eyes .,2,3,3
There are various methods used to treat phobias .,4,You can treat phobias in different ways .,There are many ways to treat phobias .,Phobias can be treated in different ways .,3,4,4
"Depending on the culture , and family and social structures , same - sex preferences have been found to develop between 3 and 9 years old .",4,Children often play with children of the same sex when they are young .,Some children prefer the same sex from a very young age . (This version still conveys the idea that same-sex preferences exist in children but omits some details.),Same-sex preferences may develop in children between the ages of 3 and 9.,2,4,3
"Since the development of technology , Transmission and storage systems have been of immense interest to technologists and technology users .",4,Computers and machines help us with information .(This is the rewritten sentence.),People need good systems to send and keep their technology .,Technology has made transmission and storage systems very important to people who work with technology and those who use it .,3,3,3
"In an extension of his ionic theory Arrhenius proposed definitions for acids and bases , in 1884 .",4,Acids and bases are chemicals .,Arrhenius defined what acids and bases are in 1884 .,Arrhenius proposed new definitions for acids and bases in 1884 .,4,4,4
Transposable elements represent one of several types of mobile genetic elements .,4,We have different versions of the same gene in our bodies .,"There are many types of mobile genes .One type is called ""jumping genes"" .",There are different types of mobile genetic elements . One type is called transposable elements .,3,3,4
The vibrant colors of the coat of arms are to point to a bright future for the islands .,4,The flag is nice . It looks happy .,The coat of arms is colourful. It suggests that the islands will have a good future.,The colorful coat of arms suggests a bright future for the islands .,2,3,3
"Stotting makes a prey animal more visible , and uses up time and energy that could be spent on escaping from the predator .",4,Animals get tired when they run fast. They become easy to see for predators .,Stotting makes animals more visible and uses their energy .,Stotting makes an animal more visible . It also wastes time and energy that could be used to escape from the predator .,3,3,3
Parish councils are run by volunteer councilors who are elected to serve for four years and are not paid .,4,People in our town help run the town council. They don't get paid .,Volunteers work for free on parish councils .,Parish councils are run by volunteers who are chosen to serve for four years and do not get paid .,2,3,3
The growth and development of the Ediacara biota is also important .,4,We must learn about the Ediacara biota.,"The Ediacara fossils are interesting. The Ediacara fossils grew and changed. A2 level language learner Can understand short, simple texts containing the highest frequency vocabulary, including a proportion of shared international vocabulary items. B1 level language learner Can read straightforward factual texts on subjects related to their field of interest with a satisfactory level of comprehension. C1 level language learner Can understand complex texts on abstract or specialized topics, using inference and deduction to fill in gaps in understanding. C2 level language learner Can understand almost any kind of written text, including complex or highly specialized texts, and can even understand implicit meaning. The following are examples of sentences readable by A2 CEFR level language learners: Example 1:Ben must like his new car a lot . Example 2:Harrison got very excited when his parents gave him a car . Example 3:I like dogs more than cats . Complex:It is also important to know about the growth and development of the Ediacara biota . Simplified: The Ediacara fossils are interesting. The Ediacara fossils grew and changed. A2 level language learner Can understand short, simple texts containing the highest frequency vocabulary, including a proportion of shared international vocabulary items. B1 level language learner Can read straightforward factual texts on subjects",It is also important to know about the growth and development of the Ediacara biota . OR,4,4,4
"Many brands of ready sliced bread are available , some of which specifically market their suitability for toasting .",4,You can buy different types of bread .Some are good for toasting .,You can buy different kinds of bread that you can toast.,There are many types of pre-sliced bread that you can buy . Some are especially good for making toast .,2,2,3
"Depending on the size of the motorcade and who it is carrying , routes may be completely blockaded from the general public .",4,Some cars can block the road.,Motorcycles can cause big jams on the road .,Large motorcades can block roads completely .,2,3,3
"In order to judge if a language is actually endangered , the number of speakers is less important than the distribution among age cohorts .",4,How many people speak this language ? We want to know if it will disappear . (Note that the meaning of the sentence has been retained but is now much clearer and easier to understand.),We need to know how many people speak the language . We should especially look at children and old people .,"To know if a language is really in danger , we need to look at how many people of different ages speak it .",4,3,3
The lack of hair can cause health issues with kittens in the first weeks of life because they can get sick with respiratory infections .,4,Kittens need hair to be healthy.,Kittens need fur to stay healthy .,"Kittens need hair to stay healthy . If they don't have enough hair , they can easily catch a cold .",2,2,3
Flamsteed calculated the solar eclipses of 1666 and 1668 .,4,He saw two solar eclipses .,"Flamsteed calculated two solar eclipses, one in 1666 and another in 1668.",Flamsteed calculated two solar eclipses in 1666 and 1668 .,3,4,4
"The entire synod is divided into 35 districts , usually representing a specific geographic area .",4,There are 35 areas .Each one is for a different place .,"There are 35 areas in the synod . Each one covers a different part of the country . (Note: In the original sentence, ""particular region"" is a complex noun phrase that has been replaced by a simpler one using the word ""different"".)",The synod is divided into 35 districts . Each district covers a specific area .,2,4,3
The oldest khachkars in the cemetery go back to the late 10th century .,4,Old stones in the cemetery are very old .,You can find old stones in the cemetery that are over 900 years old .,"Some of the old stones in the cemetery date back to the 10th century .(This version deletes unimportant information - the exact time period ""late"" and the type of stone ""khachkars"".)",2,3,4
"The textile and manufacturing sectors across Scotland suffered significant decline in the post-war period and in particular from the 1960s , in the face of greater foreign competition .",4,Scotland's factories were not good after the war . They got even worse in the 1960s .,"After the war , Scotland's factories made fewer clothes and things . This was because other countries were making them cheaper .",Scotland 's textile and manufacturing industries declined a lot after the war . They got worse from the 1960s because of more competition from abroad .,3,3,3
"s of 2019 , SkyTeam flies to more than 1,150 destinations in more than 175 countries and operates more than 14,500 daily flights .",4,SkyTeam has many flights . They go to many places all over the world every day .,"SkyTeam has flights to many places around the world every day . OR SkyTeam flies to more than 1,150 places in over 175 countries . OR SkyTeam flies to many countries and cities every day .","SkyTeam has flights to over 1,150 places in more than 175 countries . They operate over 14,500 flights every day .",2,3,3
"Upon receiving its classification , the depression consisted of a partially exposed low-level center with deep convection occupying the northeastern semicircle .",4,There was a weak point in the middle of the storm. The north-east part of the storm was very windy .,It was a big storm with strong winds . (This sentence has been compressed and rewritten for A2 level learners.),"When the depression was classified , it had a centre with strong winds and clouds in the north-eastern part .",3,4,3
